voc_name,category_2,nd,lod,reg,ulod
Benzene,BTEX,0 (0%),0 (0%),458 (99.8%),1 (0.2%)
Toluene,BTEX,0 (0%),0 (0%),454 (98.9%),5 (1.1%)
Ethylbenzene,BTEX,0 (0%),0 (0%),459 (100%),0 (0%)
Xylenes,BTEX,0 (0%),0 (0%),456 (99.3%),3 (0.7%)
Total BTEX,BTEX,0 (0%),0 (0%),456 (99.3%),3 (0.7%)
"m,p-Xylene 2",BTEX,0 (0%),0 (0%),456 (99.3%),3 (0.7%)
o-Xylene,BTEX,0 (0%),7 (1.5%),451 (98.3%),1 (0.2%)
Propylbenzene,Alkylbenzenes,1 (0.2%),355 (77.3%),103 (22.4%),0 (0%)
1-ethyl-3-methyl-benzene,Alkylbenzenes,9 (2%),78 (17%),370 (80.6%),2 (0.4%)
1-ethyl-4-methyl-benzene,Alkylbenzenes,0 (0%),202 (44%),257 (56%),0 (0%)
Mesitylene,Alkylbenzenes,0 (0%),5 (1.1%),454 (98.9%),0 (0%)
1-ethyl-2-methyl-benzene,Alkylbenzenes,3 (0.7%),316 (68.8%),140 (30.5%),0 (0%)
"1,2,3-Trimethylbenzene",Alkylbenzenes,25 (5.4%),233 (50.8%),201 (43.8%),0 (0%)
"1,4-Diethylbenzene",Alkylbenzenes,58 (12.6%),254 (55.3%),147 (32%),0 (0%)
2-methyl-hexane,Branched Alkanes,0 (0%),13 (2.8%),440 (95.9%),6 (1.3%)
3-methyl-heptane,Branched Alkanes,0 (0%),78 (17%),377 (82.1%),4 (0.9%)
Isopentane,Branched Alkanes,6 (1.3%),0 (0%),224 (48.8%),229 (49.9%)
Isohexane,Branched Alkanes,2 (0.4%),0 (0%),412 (89.8%),45 (9.8%)
3-Methylpentane,Branched Alkanes,2 (0.4%),0 (0%),431 (93.9%),26 (5.7%)
"2,4-Dimethylpentane",Branched Alkanes,7 (1.5%),64 (13.9%),383 (83.4%),5 (1.1%)
3-Methylhexane,Branched Alkanes,2 (0.4%),8 (1.7%),440 (95.9%),9 (2%)
"2,3,4-Trimethylpentane",Branched Alkanes,11 (2.4%),91 (19.8%),354 (77.1%),3 (0.7%)
n-Hexane,C6-C9 Alkanes,0 (0%),0 (0%),456 (99.3%),3 (0.7%)
Heptane,C6-C9 Alkanes,1 (0.2%),0 (0%),456 (99.3%),2 (0.4%)
Octane,C6-C9 Alkanes,9 (2%),7 (1.5%),441 (96.1%),2 (0.4%)
Nonane,C6-C9 Alkanes,27 (5.9%),12 (2.6%),418 (91.1%),2 (0.4%)
Decane,C10-C12 Alkanes,3 (0.7%),103 (22.4%),352 (76.7%),1 (0.2%)
Undecane,C10-C12 Alkanes,8 (1.7%),224 (48.8%),227 (49.5%),0 (0%)
Dodecane,C10-C12 Alkanes,5 (1.1%),291 (63.4%),163 (35.5%),0 (0%)
Methylcyclohexane,Cyclohexanes,2 (0.4%),6 (1.3%),424 (92.4%),27 (5.9%)
cis-2-Pentene,Alkenes,86 (18.7%),148 (32.2%),225 (49%),0 (0%)
Isoprene,Alkenes,213 (46.4%),47 (10.2%),199 (43.4%),0 (0%)
1-Hexene,Alkenes,54 (11.8%),15 (3.3%),390 (85%),0 (0%)
Trichloromonofluoromethane,Chlorinated Compounds,2 (0.4%),0 (0%),457 (99.6%),0 (0%)
Tetrachloroethylene,Chlorinated Compounds,3 (0.7%),0 (0%),456 (99.3%),0 (0%)
"1,2-dichlorobenzene",Chlorinated Compounds,34 (7.4%),247 (53.8%),178 (38.8%),0 (0%)
Chloroform,Chlorinated Compounds,11 (2.4%),0 (0%),448 (97.6%),0 (0%)
Carbon tetrachloride,Chlorinated Compounds,6 (1.3%),1 (0.2%),452 (98.5%),0 (0%)
Methyl isobutyl ketone,Ketones,267 (58.2%),0 (0%),192 (41.8%),0 (0%)
2-Hexanone,Ketones,431 (93.9%),0 (0%),28 (6.1%),0 (0%)
