"variable_name","voc_name","mw","category_1","category_2","category_1no","category_2no","rotating","stationary"
"benzene","Benzene",78.11,"BTEX","BTEX",1,1,"1.31 (0.80)","1.17 (0.77)"
"etbenz","Ethylbenzene",106.17,"BTEX","BTEX",1,1,"0.50 (0.24)","0.52 (0.35)"
"mpxylene","m,p-Xylene 2",106.16,"BTEX","BTEX",1,1,"2.96 (2.04)","3.37 (2.42)"
"oxylene","o-Xylene",106.16,"BTEX","BTEX",1,1,"0.68 (0.37)","0.73 (0.51)"
"toluene","Toluene",92.14,"BTEX","BTEX",1,1,"2.05 (1.27)","1.88 (1.32)"
"xylenes","Xylenes",106.16,"BTEX","BTEX",1,1,"3.64 (2.43)","4.09 (2.95)"
"benz1ethyl2methyl","1-ethyl-2-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2,"0.13 (0.06)","0.13 (0.10)"
"benz1ethyl3methyl","1-ethyl-3-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2,"0.32 (0.14)","0.33 (0.27)"
"benz1ethyl4methyl","1-ethyl-4-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2,"0.15 (0.08)","0.15 (0.13)"
"benzene_1_2_3_trimethyl","1,2,3-Trimethylbenzene",120.194,"Benzene Derivatives","Alkylbenzenes",2,2,"0.15 (0.07)","0.17 (0.13)"
"benzene_1_4_diethyl","1,4-Diethylbenzene",134.221,"Benzene Derivatives","Alkylbenzenes",2,2,"0.10 (0.06)","0.12 (0.12)"
"mesitylene","Mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2,"0.36 (0.16)","0.41 (0.37)"
"propylbenzene","Propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2,"0.17 (0.06)","0.18 (0.15)"
"butane_2_methyl","Isopentane",72.151,"Alkanes","Branched Alkanes",3,3,"0.40 (0.28)","0.42 (0.35)"
"heptane3methyl","3-methyl-heptane",114.23,"Alkanes","Branched Alkanes",3,3,"0.53 (0.30)","0.67 (0.78)"
"hexane2methyl","2-methyl-hexane",100.2,"Alkanes","Branched Alkanes",3,3,"0.66 (0.47)","0.74 (0.79)"
"hexane_3_methyl","3-Methylhexane",100.205,"Alkanes","Branched Alkanes",5,3,"1.41 (0.93)","1.64 (1.86)"
"pentane_2_3_4_trimethyl","2,3,4-Trimethylpentane",114.232,"Alkanes","Branched Alkanes",3,3,"0.30 (0.21)","0.43 (0.48)"
"pentane_2_4_dimethyl","2,4-Dimethylpentane",100.205,"Alkanes","Branched Alkanes",3,3,"0.23 (0.17)","0.34 (0.36)"
"pentane_2_methyl","Isohexane",86.178,"Alkanes","Branched Alkanes",3,3,"4.57 (4.44)","5.79 (6.48)"
"pentane_3_methyl","3-Methylpentane",86.178,"Alkanes","Branched Alkanes",3,3,"1.58 (1.42)","2.03 (2.58)"
"heptane","Heptane",100.21,"Alkanes","C6-C9 Alkanes",3,4,"0.77 (0.51)","0.79 (0.71)"
"hexane","n-Hexane",86.18,"Alkanes","C6-C9 Alkanes",3,4,"1.04 (0.90)","1.03 (1.11)"
"nonane","Nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4,"0.45 (0.33)","0.51 (0.57)"
"octane","Octane",114.23,"Alkanes","C6-C9 Alkanes",3,4,"0.31 (0.23)","0.35 (0.35)"
"decane","Decane",149.29,"Alkanes","C10-C12 Alkanes",3,5,"0.42 (0.19)","0.47 (0.46)"
"dodecane","Dodecane",170.34,"Alkanes","C10-C12 Alkanes",3,5,"0.20 (0.20)","0.29 (0.42)"
"undecane","Undecane",156.31,"Alkanes","C10-C12 Alkanes",3,5,"0.42 (0.30)","0.59 (0.60)"
"cyclohexane_methyl","Methylcyclohexane",98.189,"Cyclohexanes","Cyclohexanes",4,6,"1.11 (0.76)","1.56 (2.08)"
"x1_3_butadiene_2_methyl","Isoprene",68.12,"Alkenes","Alkenes",5,7,"0.02 (0.06)","0.03 (0.09)"
"x1_hexene","1-Hexene",84.162,"Alkenes","Alkenes",5,7,"0.18 (0.16)","0.20 (0.20)"
"x2_pentene_z_cis","cis-2-Pentene",70.1329,"Alkenes","Alkenes",5,7,"0.04 (0.06)","0.04 (0.06)"
"methyl_isobutyl_ketone","Methyl isobutyl ketone",100.16,"Ketones","Ketones",6,8,"0.00 (0.03)","0.00 (0.04)"
"x2_hexanone","2-Hexanone",100.161,"Ketones","Ketones",6,8,"0.01 (0.00)","0.01 (0.00)"
"benz12chloro","1,2-dichlorobenzene",147.01,"Benzene Derivatives","Chlorinated Compounds",2,9,"0.14 (0.10)","0.10 (0.10)"
"carbon_tetrachloride","Carbon tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",7,9,"1.90 (0.92)","1.72 (0.81)"
"tce","Tetrachloroethylene",165.83,"Chlorinated Compounds","Chlorinated Compounds",7,9,"0.14 (0.09)","0.12 (0.07)"
"trichlorofluoromethane","Trichloromonofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",7,9,"0.68 (0.88)","0.61 (0.62)"
"trichloromethane","Chloroform",119.37,"Chlorinated Compounds","Chlorinated Compounds",7,9,"0.18 (0.07)","0.16 (0.06)"
